beta,gamma,yearly_I
0,-180,58024.112205076606
0,-179,58024.112205076606
0,-178,58024.112205076606
0,-177,58024.112205076606
0,-176,58024.112205076606
0,-175,58024.112205076606
0,-174,58024.112205076606
0,-173,58024.112205076606
0,-172,58024.112205076606
0,-171,58024.112205076606
0,-170,58024.112205076606
0,-169,58024.112205076606
0,-168,58024.112205076606
0,-167,58024.112205076606
0,-166,58024.112205076606
0,-165,58024.112205076606
0,-164,58024.112205076606
0,-163,58024.112205076606
0,-162,58024.112205076606
0,-161,58024.112205076606
0,-160,58024.112205076606
0,-159,58024.112205076606
0,-158,58024.112205076606
0,-157,58024.112205076606
0,-156,58024.112205076606
0,-155,58024.112205076606
0,-154,58024.112205076606
0,-153,58024.112205076606
0,-152,58024.112205076606
0,-151,58024.112205076606
0,-150,58024.112205076606
0,-149,58024.112205076606
0,-148,58024.112205076606
0,-147,58024.112205076606
0,-146,58024.112205076606
0,-145,58024.112205076606
0,-144,58024.112205076606
0,-143,58024.112205076606
0,-142,58024.112205076606
0,-141,58024.112205076606
0,-140,58024.112205076606
0,-139,58024.112205076606
0,-138,58024.112205076606
0,-137,58024.112205076606
0,-136,58024.112205076606
0,-135,58024.112205076606
0,-134,58024.112205076606
0,-133,58024.112205076606
0,-132,58024.112205076606
0,-131,58024.112205076606
0,-130,58024.112205076606
0,-129,58024.112205076606
0,-128,58024.112205076606
0,-127,58024.112205076606
0,-126,58024.112205076606
0,-125,58024.112205076606
0,-124,58024.112205076606
0,-123,58024.112205076606
0,-122,58024.112205076606
0,-121,58024.112205076606
0,-120,58024.112205076606
0,-119,58024.112205076606
0,-118,58024.112205076606
0,-117,58024.112205076606
0,-116,58024.112205076606
0,-115,58024.112205076606
0,-114,58024.112205076606
0,-113,58024.112205076606
0,-112,58024.112205076606
0,-111,58024.112205076606
0,-110,58024.112205076606
0,-109,58024.112205076606
0,-108,58024.112205076606
0,-107,58024.112205076606
0,-106,58024.112205076606
0,-105,58024.112205076606
0,-104,58024.112205076606
0,-103,58024.112205076606
0,-102,58024.112205076606
0,-101,58024.112205076606
0,-100,58024.112205076606
0,-99,58024.112205076606
0,-98,58024.112205076606
0,-97,58024.112205076606
0,-96,58024.112205076606
0,-95,58024.112205076606
0,-94,58024.112205076606
0,-93,58024.112205076606
0,-92,58024.112205076606
0,-91,58024.112205076606
0,-90,58024.112205076606
0,-89,58024.112205076606
0,-88,58024.112205076606
0,-87,58024.112205076606
0,-86,58024.112205076606
0,-85,58024.112205076606
0,-84,58024.112205076606
0,-83,58024.112205076606
0,-82,58024.112205076606
0,-81,58024.112205076606
0,-80,58024.112205076606
0,-79,58024.112205076606
0,-78,58024.112205076606
0,-77,58024.112205076606
0,-76,58024.112205076606
0,-75,58024.112205076606
0,-74,58024.112205076606
0,-73,58024.112205076606
0,-72,58024.112205076606
0,-71,58024.112205076606
0,-70,58024.112205076606
0,-69,58024.112205076606
0,-68,58024.112205076606
0,-67,58024.112205076606
0,-66,58024.112205076606
0,-65,58024.112205076606
0,-64,58024.112205076606
0,-63,58024.112205076606
0,-62,58024.112205076606
0,-61,58024.112205076606
0,-60,58024.112205076606
0,-59,58024.112205076606
0,-58,58024.112205076606
0,-57,58024.112205076606
0,-56,58024.112205076606
0,-55,58024.112205076606
0,-54,58024.112205076606
0,-53,58024.112205076606
0,-52,58024.112205076606
0,-51,58024.112205076606
0,-50,58024.112205076606
0,-49,58024.112205076606
0,-48,58024.112205076606
0,-47,58024.112205076606
0,-46,58024.112205076606
0,-45,58024.112205076606
0,-44,58024.112205076606
0,-43,58024.112205076606
0,-42,58024.112205076606
0,-41,58024.112205076606
0,-40,58024.112205076606
0,-39,58024.112205076606
0,-38,58024.112205076606
0,-37,58024.112205076606
0,-36,58024.112205076606
0,-35,58024.112205076606
0,-34,58024.112205076606
0,-33,58024.112205076606
0,-32,58024.112205076606
0,-31,58024.112205076606
0,-30,58024.112205076606
0,-29,58024.112205076606
0,-28,58024.112205076606
0,-27,58024.112205076606
0,-26,58024.112205076606
0,-25,58024.112205076606
0,-24,58024.112205076606
0,-23,58024.112205076606
0,-22,58024.112205076606
0,-21,58024.112205076606
0,-20,58024.112205076606
0,-19,58024.112205076606
0,-18,58024.112205076606
0,-17,58024.112205076606
0,-16,58024.112205076606
